name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"19.505206138950097, -99.14637441801871",2025-11-11T00:00:00,8.6,7,4.4,74.9,0,0,,0,0,10.8,9.7,38.1,1028,100,24.1,0,0,0,10,Overcast,cloudy,remote
"19.505206138950097, -99.14637441801871",2025-11-11T01:00:00,8.5,7,4.2,74.36,0,0,,0,0,10.1,9,34.2,1027,100,24.1,0,0,0,10,Overcast,cloudy,remote
"19.505206138950097, -99.14637441801871",2025-11-11T02:00:00,8.3,7,3.3,70.75,0,0,,0,0,9,7.9,33.7,1027,100,24.1,0,0,0,10,Overcast,cloudy,remote
"19.505206138950097, -99.14637441801871",2025-11-11T03:00:00,2.5,2.5,2.2,97.93,0,0,,0,0,7.2,2.8,348,1025.3,85.3,2.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"MMSM,MMTO"
"19.505206138950097, -99.14637441801871",2025-11-11T04:00:00,2,2,2,100,0,0,,0,0,5.8,0,0,1026,100,0,0,0,0,10,Overcast,cloudy,MMSM
"19.505206138950097, -99.14637441801871",2025-11-11T05:00:00,8.2,7.3,2.7,68.27,0,0,,0,0,5.8,6.1,33.7,1026,90.1,24.1,0,0,0,10,Overcast,cloudy,remote
"19.505206138950097, -99.14637441801871",2025-11-11T06:00:00,3,3,2,93.14,0,0,,0,0,5,0,0,1020.4,50,8,0,0,0,10,Partially cloudy,partly-cloudy-night,MMTO
"19.505206138950097, -99.14637441801871",2025-11-11T07:00:00,12,12,9,81.87,0,0,,0,0,4.7,5.4,300,1027.8,88,11,2,0,0,10,Partially cloudy,partly-cloudy-day,MMCB
"19.505206138950097, -99.14637441801871",2025-11-11T08:00:00,8.9,8.5,2.5,64.19,0,0,,0,0,4.7,5,31.4,1027,100,24.1,101,0.4,1,10,Overcast,cloudy,remote
"19.505206138950097, -99.14637441801871",2025-11-11T09:00:00,5,3.9,5,100,0,0,,0,0,4,5.4,10,1027,88,3,284,1,3,10,Partially cloudy,partly-cloudy-day,MMSM
"19.505206138950097, -99.14637441801871",2025-11-11T10:00:00,11.4,11.4,2.2,53.16,0,0,,0,0,4.3,6.8,40.4,1026,100,24.1,456,1.6,5,10,Overcast,cloudy,remote
"19.505206138950097, -99.14637441801871",2025-11-11T11:00:00,14,14,5,54.61,0,0,,0,0,5.4,0,0,1025,50,8,641,2.3,6,10,Partially cloudy,partly-cloudy-day,MMTO
"19.505206138950097, -99.14637441801871",2025-11-11T12:00:00,14,14,1.6,42.95,0,0,,0,0,5.8,9.7,59.3,1023,100,24.1,700,2.5,7,10,Overcast,cloudy,remote
"19.505206138950097, -99.14637441801871",2025-11-11T13:00:00,15.1,15.1,1.5,39.72,0,0,,0,0,6.8,10.1,59.6,1021,100,24.1,688,2.5,7,10,Overcast,cloudy,remote
"19.505206138950097, -99.14637441801871",2025-11-11T14:00:00,16,16,1.4,37.23,0,0,,0,0,6.8,10.1,56.9,1020,100,24.1,682,2.5,7,10,Overcast,cloudy,remote
"19.505206138950097, -99.14637441801871",2025-11-11T15:00:00,20,20,3.1,32.72,0,0,,0,0,6.8,11.1,64,1016,51.5,11,620,2.2,6,10,Partially cloudy,partly-cloudy-day,"MMMX,MMTO"
"19.505206138950097, -99.14637441801871",2025-11-11T16:00:00,20,20,3,32.44,0,0,,0,0,6.8,0,0,1018,88,11,432,1.6,4,10,Partially cloudy,partly-cloudy-day,MMMX
"19.505206138950097, -99.14637441801871",2025-11-11T17:00:00,17.1,17.1,2,36.24,0,0,,0,0,6.8,9.7,27.1,1018,92.9,24.1,270,1,3,10,Overcast,cloudy,remote
"19.505206138950097, -99.14637441801871",2025-11-11T18:00:00,16.1,16.1,2.9,41.17,0,0,,0,0,10.1,11.5,13.7,1019,100,24.1,54,0.2,0,10,Overcast,cloudy,remote
"19.505206138950097, -99.14637441801871",2025-11-11T19:00:00,16.5,16.5,6.1,50.13,0,0,,0,0,9.4,17.5,84,1023.2,84.8,13.1,0,0,0,10,Partially cloudy,partly-cloudy-night,"MMCB,MMSM,MMMX"
"19.505206138950097, -99.14637441801871",2025-11-11T20:00:00,14,14,4.8,53.86,0,0,,0,0,8.6,9,1.6,1021,77.6,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"19.505206138950097, -99.14637441801871",2025-11-11T21:00:00,13.5,13.5,5,56.42,0,0,,0,0,5.8,6.5,359.4,1022,56,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"19.505206138950097, -99.14637441801871",2025-11-11T22:00:00,13,13,5.1,58.69,0,0,,0,0,6.8,7.2,358.3,1022,58.4,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"19.505206138950097, -99.14637441801871",2025-11-11T23:00:00,12.5,12.5,5.1,60.65,0,0,,0,0,4.3,5,13,1022,99.8,24.1,0,0,0,10,Overcast,cloudy,remote
