temp,dia_anio,mes_actual,anio_actual,hora_actual,temp_hace1hora,temp_hace3horas,temp_hace6horas,temp_hace12horas,temp_hace1dia,temp_hace3dias,temp_hace5dias,temp_hace1semana,temp_hace1mes,temp_hace1anio
8.6,315,11,2025,0,8.9,9,9.5,10.1,11.2,13,14.1,11.5,12.7,14.3
8.5,315,11,2025,1,8.6,8.9,9,11,10.6,9,13.6,11,12.3,14.9
8.3,315,11,2025,2,8.5,8.9,10.9,14.2,6,14.8,8,10.5,12.5,14.1
2.5,315,11,2025,3,8.3,8.6,9,17.5,9.6,14.3,8.6,8,12,13.8
2,315,11,2025,4,2.5,8.5,8.9,9.7,3,13.9,6,9.8,11.3,11.9
8.2,315,11,2025,5,2,8.3,8.9,9.7,7,13.5,4.4,3.4,11.4,12.3
3,315,11,2025,6,8.2,2.5,8.6,9.5,3,15,3.7,2,11.2,8.3
12,315,11,2025,7,3,2,8.5,9,9.4,13.2,11.5,8.9,12,11.7
8.9,315,11,2025,8,12,8.2,8.3,10.9,10,9,12.5,9.7,12.4,11.3
5,315,11,2025,9,8.9,3,2.5,9,10,12,12,11.3,14.8,13.1
11.4,315,11,2025,10,5,12,2,8.9,12,17,16.2,13.3,19,17.6
14,315,11,2025,11,11.4,8.9,8.2,8.9,10.1,20,17.9,15.5,19.4,20.2
14,315,11,2025,12,14,5,3,8.6,10.1,20.3,19,17.3,21,22.2
15.1,315,11,2025,13,14,11.4,12,8.5,11,22,22,18.5,21.7,23.5
16,315,11,2025,14,15.1,14,8.9,8.3,14.2,22,21.9,19.5,21.9,25.3
20,315,11,2025,15,16,14,5,2.5,17.5,22.3,28,23,22.1,25.5
20,315,11,2025,16,20,15.1,11.4,2,9.7,22.2,28,20.1,22.6,26.6
17.1,315,11,2025,17,20,16,14,8.2,9.7,21.3,27,19.9,21.2,25.7
16.1,315,11,2025,18,17.1,20,14,3,9.5,20.4,19.5,20,22,23.2
16.5,315,11,2025,19,16.1,20,15.1,12,9,18.9,18.2,17,22,21.5
14,315,11,2025,20,16.5,17.1,16,8.9,10.9,17,19,17.7,21,20.5
13.5,315,11,2025,21,14,16.1,20,5,9,17.7,16.5,14.6,15.1,19.1
13,315,11,2025,22,13.5,16.5,20,11.4,8.9,17.4,16,14.1,14.6,18.3
12.5,315,11,2025,23,13,14,17.1,14,8.9,16.8,15.6,13.7,13.5,17.7
