fecha,hora,temp
2025-11-10,00:00:00,11.2
2025-11-10,01:00:00,10.6
2025-11-10,02:00:00,6.0
2025-11-10,03:00:00,9.6
2025-11-10,04:00:00,3.0
2025-11-10,05:00:00,7.0
2025-11-10,06:00:00,3.0
2025-11-10,07:00:00,9.4
2025-11-10,08:00:00,10.0
2025-11-10,09:00:00,10.0
2025-11-10,10:00:00,12.0
2025-11-10,11:00:00,10.1
2025-11-10,12:00:00,10.1
2025-11-10,13:00:00,11.0
2025-11-10,14:00:00,14.2
2025-11-10,15:00:00,17.5
2025-11-10,16:00:00,9.7
2025-11-10,17:00:00,9.7
2025-11-10,18:00:00,9.5
2025-11-10,19:00:00,9.0
2025-11-10,20:00:00,10.9
2025-11-10,21:00:00,9.0
2025-11-10,22:00:00,8.9
2025-11-10,23:00:00,8.9
