temp,dia_anio,mes_actual,anio_actual,hora_actual,temp_hace1hora,temp_hace3horas,temp_hace6horas,temp_hace12horas,temp_hace1dia,temp_hace3dias,temp_hace5dias,temp_hace1semana,temp_hace1mes,temp_hace1anio
11.2,314,11,2025,0,9,13.7,16,20,16.2,15,13.3,12.3,12.7,18.1
10.6,314,11,2025,1,11.2,10,16.2,22,15.7,14.4,12.8,12,12.8,17.1
6,314,11,2025,2,10.6,9,15,23,5,13.8,12.4,11.6,12.6,16.4
9.6,314,11,2025,3,6,11.2,13.7,25,14.7,13.4,12,11.4,12.4,13.9
3,314,11,2025,4,9.6,10.6,10,21.4,5.4,13,8,11.2,12,14.1
7,314,11,2025,5,3,6,9,23,5,12.7,11.4,10.6,12,13.2
3,314,11,2025,6,7,9.6,11.2,16,3,7,11.2,10.2,12.9,12.5
9.4,314,11,2025,7,3,3,10.6,16.2,13.3,14,3,14,12.9,10.8
10,314,11,2025,8,9.4,7,6,15,14.5,7,11.7,10.6,12.3,12.8
10,314,11,2025,9,10,3,9.6,13.7,11,15.4,13.8,9.5,14.6,15.2
12,314,11,2025,10,10,9.4,3,10,17.5,17.3,15.8,14,16.1,20
10.1,314,11,2025,11,12,10,7,9,18.9,19,17.5,15.6,25,21.4
10.1,314,11,2025,12,10.1,10,3,11.2,20,20.4,19,17,19.9,23.1
11,314,11,2025,13,10.1,12,9.4,10.6,22,21.5,20,18.4,18.7,24.2
14.2,314,11,2025,14,11,10.1,10,6,23,22.1,20.6,21,22,25.2
17.5,314,11,2025,15,14.2,10.1,10,9.6,25,22.4,20.8,21,19.9,26
9.7,314,11,2025,16,17.5,11,12,3,21.4,24,20.7,22,27,26.5
9.7,314,11,2025,17,9.7,14.2,10.1,7,23,21.7,23,18,18.8,25.6
9.5,314,11,2025,18,9.7,17.5,10.1,3,16,20.6,21.8,23,19.8,22.9
9,314,11,2025,19,9.5,9.7,11,9.4,16.2,19,19,15.5,15.5,20.4
10.9,314,11,2025,20,9,9.7,14.2,10,15,20,16.2,14.3,16,19.3
9,314,11,2025,21,10.9,9.5,17.5,10,13.7,17.8,15.6,13.3,14.3,18.1
8.9,314,11,2025,22,9,9,9.7,12,10,17.2,15.1,12.6,13.8,17.3
8.9,314,11,2025,23,8.9,10.9,9.7,10.1,9,16.5,14.7,12,13.7,16.2
