name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"19.505206138950097, -99.14637441801871",2025-11-04T00:00:00,11.5,11.5,5.6,67.07,0,0,,0,0,6.1,7.2,16.3,1024,0,24.1,0,0,0,10,Clear,clear-night,remote
"19.505206138950097, -99.14637441801871",2025-11-04T01:00:00,11,11,5.6,69.33,0,0,,0,0,5.8,6.8,20.8,1024,0,24.1,0,0,0,10,Clear,clear-night,remote
"19.505206138950097, -99.14637441801871",2025-11-04T02:00:00,10.5,10.5,5.6,71.67,0,0,,0,0,5,6.1,19.7,1023,0,24.1,0,0,0,10,Clear,clear-night,remote
"19.505206138950097, -99.14637441801871",2025-11-04T03:00:00,8,8,5,81.35,0,0,,0,0,4.7,0,0,1018.7,25,16,0,0,0,10,Partially cloudy,partly-cloudy-night,MMMX
"19.505206138950097, -99.14637441801871",2025-11-04T04:00:00,9.8,9.4,5.5,74.59,0,0,,0,0,4.3,5.4,26.4,1023,0,24.1,0,0,0,10,Clear,clear-night,remote
"19.505206138950097, -99.14637441801871",2025-11-04T05:00:00,3.4,1.6,2.4,93.16,0,0,,0,0,4,6.6,49,1024,47,5.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"MMSM,MMTO"
"19.505206138950097, -99.14637441801871",2025-11-04T06:00:00,2,2,1,93.08,0,0,,0,0,3.6,0,0,1019.6,100,0,0,0,0,10,Overcast,cloudy,MMTO
"19.505206138950097, -99.14637441801871",2025-11-04T07:00:00,8.9,8.9,4.9,76,0,0,,0,0,3.6,4.7,49.4,1025,2,24.1,4,0,0,10,Clear,clear-day,remote
"19.505206138950097, -99.14637441801871",2025-11-04T08:00:00,9.7,9.4,4.7,71.02,0,0,,0,0,3.2,5,51.6,1026,1.9,24.1,143,0.5,1,10,Clear,clear-day,remote
"19.505206138950097, -99.14637441801871",2025-11-04T09:00:00,11.3,11.3,4.1,61.21,0,0,,0,0,3.2,6.1,55.3,1026,0,24.1,391,1.4,4,10,Clear,clear-day,remote
"19.505206138950097, -99.14637441801871",2025-11-04T10:00:00,13.3,13.3,3,49.67,0,0,,0,0,4,7.6,60.3,1025,0,24.1,618,2.2,6,10,Clear,clear-day,remote
"19.505206138950097, -99.14637441801871",2025-11-04T11:00:00,15.5,15.5,-1.1,32.07,0,0,,0,0,4,9,54.3,1023,0,24.1,801,2.9,8,10,Clear,clear-day,remote
"19.505206138950097, -99.14637441801871",2025-11-04T12:00:00,17.3,17.3,-3.9,23.24,0,0,,0,0,5.8,10.8,52,1021,0,24.1,907,3.3,9,10,Clear,clear-day,remote
"19.505206138950097, -99.14637441801871",2025-11-04T13:00:00,18.5,18.5,-6.3,17.97,0,0,,0,0,7.2,11.5,50.1,1019,3.6,24.1,935,3.4,9,10,Clear,clear-day,remote
"19.505206138950097, -99.14637441801871",2025-11-04T14:00:00,19.5,19.5,-8.1,14.7,0,0,,0,0,7.2,11.9,45.9,1018,5,24.1,883,3.2,9,10,Clear,clear-day,remote
"19.505206138950097, -99.14637441801871",2025-11-04T15:00:00,23,23,-9,11.05,0,0,,0,0,6.5,11.2,10,1013.8,50,11,755,2.7,8,10,Partially cloudy,partly-cloudy-day,MMMX
"19.505206138950097, -99.14637441801871",2025-11-04T16:00:00,20.1,20.1,-9.9,12.3,0,0,,0,0,5.8,9.4,32.4,1016,5,24.1,563,2,6,10,Clear,clear-day,remote
"19.505206138950097, -99.14637441801871",2025-11-04T17:00:00,19.9,19.9,-10.3,12.07,0,0,,0,0,6.1,8.6,19.5,1016,0,24.1,325,1.2,3,10,Clear,clear-day,remote
"19.505206138950097, -99.14637441801871",2025-11-04T18:00:00,20,20,4,34.81,0,0,,0,0,9.7,22.3,120,1015,0,14,78,0.3,1,10,Clear,clear-day,MMMX
"19.505206138950097, -99.14637441801871",2025-11-04T19:00:00,17,17,-2.8,25.71,0,0,,0,0,14,12.2,357.1,1019,0,24.1,0,0,0,10,Clear,clear-night,remote
"19.505206138950097, -99.14637441801871",2025-11-04T20:00:00,17.7,17.7,3.3,38.35,0,0,,0,0,11.9,8.5,112,1021,0,15.8,0,0,0,10,Clear,clear-night,"MMSM,MMMX"
"19.505206138950097, -99.14637441801871",2025-11-04T21:00:00,14.6,14.6,1.3,40.44,0,0,,0,0,7.6,7.2,351.8,1022,0,24.1,0,0,0,10,Clear,clear-night,remote
"19.505206138950097, -99.14637441801871",2025-11-04T22:00:00,14.1,14.1,1.7,42.98,0,0,,0,0,5.8,6.5,347.3,1023,0,24.1,0,0,0,10,Clear,clear-night,remote
"19.505206138950097, -99.14637441801871",2025-11-04T23:00:00,13.7,13.7,2.1,45.39,0,0,,0,0,5,5.8,0.6,1023,0,24.1,0,0,0,10,Clear,clear-night,remote
