name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-10-26T00:00:00,15.8,15.8,4.1,45.95,0,0,,0,0,10.4,0,0,1009.5,0,17.2,0,0,0,10,Clear,clear-night,"MMSM,MMMX"
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-10-26T01:00:00,16,16,5,48.02,0,0,,0,0,13,11.2,70,1017,0,16,0,0,0,10,Clear,clear-night,MMMX
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-10-26T02:00:00,11,11,6.5,73.77,0,0,,0,0,11.5,5.4,131,1016,25.9,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-10-26T03:00:00,14,14,6,58.53,0,0,,0,0,11.5,0,0,1009.9,0,16,0,0,0,10,Clear,clear-night,MMMX
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-10-26T04:00:00,13,13,8,71.65,0,0,,0,0,11.2,0,0,1016,0,16,0,0,0,10,Clear,clear-night,MMMX
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-10-26T05:00:00,12,12,4,58.04,0,0,,0,0,11.2,7.6,70,1017,0,14,0,0,0,10,Clear,clear-night,MMMX
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-10-26T06:00:00,11,11,5,66.49,0,0,,0,0,10.4,7.6,80,1010.4,0,13,0,0,0,10,Clear,clear-night,MMMX
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-10-26T07:00:00,10.2,10.2,4.8,69.14,0,0,,0,0,10.1,0,0,1018,0,13.8,9.5,0,0,10,Clear,clear-day,"MMSM,MMMX"
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-10-26T08:00:00,14,14,6,58.53,0,0,,0,0,11.5,7.6,50,1018,0,14,181.5,0.7,2,10,Clear,clear-day,MMMX
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-10-26T09:00:00,18,18,6,45.34,0,0,,0,0,12.2,0,0,1019,0,13,429.8,1.5,4,10,Clear,clear-day,MMMX
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-10-26T10:00:00,20,20,6,40.02,0,0,,0,0,12.6,7.6,70,1018,0,13,657.3,2.4,7,10,Clear,clear-day,MMMX
