fecha,hora,temp
2025-11-03,00:00:00,9.5
2025-11-03,01:00:00,9.8
2025-11-03,02:00:00,10.1
2025-11-03,03:00:00,10.0
2025-11-03,04:00:00,9.9
2025-11-03,05:00:00,9.7
2025-11-03,06:00:00,9.6
2025-11-03,07:00:00,9.5
2025-11-03,08:00:00,10.2
2025-11-03,09:00:00,9.9
2025-11-03,10:00:00,14.0
2025-11-03,11:00:00,14.8
2025-11-03,12:00:00,17.0
2025-11-03,13:00:00,18.5
2025-11-03,14:00:00,21.0
2025-11-03,15:00:00,21.0
2025-11-03,16:00:00,21.7
2025-11-03,17:00:00,17.4
2025-11-03,18:00:00,14.3
2025-11-03,19:00:00,12.4
2025-11-03,20:00:00,11.2
2025-11-03,21:00:00,10.3
2025-11-03,22:00:00,9.6
2025-11-03,23:00:00,9.1
