fecha,temp,dia_anio,mes_actual,anio_actual,hora_actual,temp_hace1hora,temp_hace3horas,temp_hace6horas,temp_hace12horas,temp_hace1dia,temp_hace3dias,temp_hace5dias,temp_hace1semana,temp_hace1mes,temp_hace1anio
2025-11-03 00:00:00,9.5,307,11,2025,0,,,,,,,,,,
2025-11-03 01:00:00,9.8,307,11,2025,1,9.5,,,,,,,,,
2025-11-03 02:00:00,10.1,307,11,2025,2,9.8,,,,,,,,,
2025-11-03 03:00:00,10.0,307,11,2025,3,10.1,9.5,,,,,,,,
2025-11-03 04:00:00,9.9,307,11,2025,4,10.0,9.8,,,,,,,,
2025-11-03 05:00:00,9.7,307,11,2025,5,9.9,10.1,,,,,,,,
2025-11-03 06:00:00,9.6,307,11,2025,6,9.7,10.0,9.5,,,,,,,
2025-11-03 07:00:00,9.5,307,11,2025,7,9.6,9.9,9.8,,,,,,,
2025-11-03 08:00:00,10.2,307,11,2025,8,9.5,9.7,10.1,,,,,,,
2025-11-03 09:00:00,9.9,307,11,2025,9,10.2,9.6,10.0,,,,,,,
2025-11-03 10:00:00,14.0,307,11,2025,10,9.9,9.5,9.9,,,,,,,
2025-11-03 11:00:00,14.8,307,11,2025,11,14.0,10.2,9.7,,,,,,,
2025-11-03 12:00:00,17.0,307,11,2025,12,14.8,9.9,9.6,9.5,,,,,,
2025-11-03 13:00:00,18.5,307,11,2025,13,17.0,14.0,9.5,9.8,,,,,,
2025-11-03 14:00:00,21.0,307,11,2025,14,18.5,14.8,10.2,10.1,,,,,,
2025-11-03 15:00:00,21.0,307,11,2025,15,21.0,17.0,9.9,10.0,,,,,,
2025-11-03 16:00:00,21.7,307,11,2025,16,21.0,18.5,14.0,9.9,,,,,,
2025-11-03 17:00:00,17.4,307,11,2025,17,21.7,21.0,14.8,9.7,,,,,,
2025-11-03 18:00:00,14.3,307,11,2025,18,17.4,21.0,17.0,9.6,,,,,,
2025-11-03 19:00:00,12.4,307,11,2025,19,14.3,21.7,18.5,9.5,,,,,,
2025-11-03 20:00:00,11.2,307,11,2025,20,12.4,17.4,21.0,10.2,,,,,,
2025-11-03 21:00:00,10.3,307,11,2025,21,11.2,14.3,21.0,9.9,,,,,,
2025-11-03 22:00:00,9.6,307,11,2025,22,10.3,12.4,21.7,14.0,,,,,,
2025-11-03 23:00:00,9.1,307,11,2025,23,9.6,11.2,17.4,14.8,,,,,,
