name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-11-03T00:00:00,9.5,9,7.1,84.98,0,0,,0,0,5.8,5.4,340.7,1025,75.4,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-11-03T01:00:00,9.8,9.4,6.9,82.15,0,0,,0,0,5.4,5.4,342.9,1025,69.7,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-11-03T02:00:00,10.1,10.1,6.4,77.79,0,0,,0,0,4.3,4.7,358.4,1024,80.7,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-11-03T03:00:00,10,9.7,6.1,76.71,0,0,,0,0,4.3,5,4.4,1024,82.5,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-11-03T04:00:00,9.9,9.5,5.8,75.64,0,0,,0,0,5.4,5.4,9.9,1024,75.8,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-11-03T05:00:00,9.7,9.2,5.8,76.66,0,0,,0,0,6.1,5.4,10.4,1024,68.5,7.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-11-03T06:00:00,9.6,9.2,5.5,75.59,0,0,,0,0,6.1,5,9.2,1025,50.8,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-11-03T07:00:00,9.5,9.5,5.3,75.05,0,0,,0,0,5.4,4.3,6.7,1026,32.4,24.1,4,0,0,10,Partially cloudy,partly-cloudy-day,remote
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-11-03T08:00:00,10.2,10.2,5.3,71.61,0,0,,0,0,4,4.3,2.7,1026,0,24.1,134,0.5,1,10,Clear,clear-day,remote
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-11-03T09:00:00,9.9,8.5,6,76.25,0,0,,0,0,4.3,10.4,28,1024.1,100,8.8,389,1.4,4,10,Overcast,cloudy,"MMSM,MMTO"
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-11-03T10:00:00,14,14,6,58.53,0,0,,0,0,6.1,7.6,320,1025,88,10,613,2.2,6,10,Partially cloudy,partly-cloudy-day,MMMX
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2025-11-03T11:00:00,14.8,14.8,3.9,48.02,0,0,,0,0,6.5,8.6,36,1024,0,24.1,785,2.8,8,10,Clear,clear-day,remote
