name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2023-10-01T00:00:00,18.1,18.1,10.1,59.54,0,0,,0,0,12.2,7.6,10,1010.1,50,14,0,0,0,10,Partially cloudy,partly-cloudy-night,76679399999
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2023-10-01T01:00:00,15.1,15.1,10.1,72.04,0,0,,0,0,13.7,0,355.2,1029.5,90,11,0,0,0,10,Partially cloudy,partly-cloudy-night,76675399999
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2023-10-01T02:00:00,14.1,14.1,11.1,82.14,0,0,,0,0,12.6,5.4,310,1029.1,90,11,0,0,0,10,Partially cloudy,partly-cloudy-night,76675399999
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2023-10-01T03:00:00,15.8,15.8,11.5,75.6,0,0,,0,0,11.2,4.3,359.7,1019,82,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2023-10-01T04:00:00,14.1,14.1,11.1,82.14,0,0,,0,0,9.4,0,347.6,1028.8,90,11,0,0,0,10,Partially cloudy,partly-cloudy-night,76675399999
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2023-10-01T05:00:00,13.1,13.1,11.1,87.66,0,0,,0,0,6.8,0,3.4,1028.4,90,11,0,0,0,10,Partially cloudy,partly-cloudy-night,76675399999
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2023-10-01T06:00:00,15.3,15.3,11.9,79.81,0,0,,0,0,6.5,3.6,277,1007.8,30,4.1,0,0,0,10,Partially cloudy,partly-cloudy-night,"76680099999,76675099999"
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2023-10-01T07:00:00,14.8,14.8,11.1,78.44,0,0,,0,0,6.8,2.4,83,1022.9,85.8,7.8,11.6,0,0,10,Partially cloudy,partly-cloudy-day,"76675399999,76632099999,76679399999,76680099999,MMSM,76675099999"
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2023-10-01T08:00:00,15.7,15.7,12.2,79.67,0,0,,0,0,10.4,3.7,312,1013.2,86.9,3.6,120.1,0.4,1,10,Partially cloudy,partly-cloudy-day,"76726099999,76632099999,76680099999,76675099999"
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2023-10-01T09:00:00,17.8,17.8,12,69.08,0,0,,0,0,10.8,8.1,31,1013,88.9,7.4,321.6,1.2,3,10,Partially cloudy,partly-cloudy-day,"76726099999,76632099999,76679399999,76680099999,76675099999"
