fecha,hora,temp
2025-11-11,00:00:00,8.6
2025-11-11,01:00:00,8.5
2025-11-11,02:00:00,8.3
2025-11-11,03:00:00,2.5
2025-11-11,04:00:00,2.0
2025-11-11,05:00:00,8.2
2025-11-11,06:00:00,3.0
2025-11-11,07:00:00,12.0
2025-11-11,08:00:00,8.9
2025-11-11,09:00:00,5.0
2025-11-11,10:00:00,11.4
2025-11-11,11:00:00,14.0
2025-11-11,12:00:00,14.0
2025-11-11,13:00:00,15.1
2025-11-11,14:00:00,16.0
2025-11-11,15:00:00,20.0
2025-11-11,16:00:00,20.0
2025-11-11,17:00:00,17.1
2025-11-11,18:00:00,16.1
2025-11-11,19:00:00,16.5
2025-11-11,20:00:00,14.0
2025-11-11,21:00:00,13.5
2025-11-11,22:00:00,13.0
2025-11-11,23:00:00,12.5
